UKHAB,Condition,Label
Oceanic Valley Mire[1] (D2.1),Fairly Good,2. Fairly Good
Wood-pasture and parkland,Fairly Good,2. Fairly Good
Allotments,Fairly Poor,4. Fairly Poor
Aquifer fed naturally fluctuating water bodies,Fairly Poor,4. Fairly Poor
Artificial features of hard structures,Fairly Poor,4. Fairly Poor
Artificial hard structures,Fairly Poor,4. Fairly Poor
Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI),Fairly Poor,4. Fairly Poor
Artificial littoral biogenic reefs,Fairly Poor,4. Fairly Poor
Artificial littoral coarse sediment,Fairly Poor,4. Fairly Poor
Artificial littoral mixed sediments,Fairly Poor,4. Fairly Poor
Artificial littoral mud,Fairly Poor,4. Fairly Poor
Artificial littoral muddy sand,Fairly Poor,4. Fairly Poor
Artificial littoral sand,Fairly Poor,4. Fairly Poor
Artificial littoral seagrass,Fairly Poor,4. Fairly Poor
Artificial saltmarshes and saline reedbeds,Fairly Poor,4. Fairly Poor
Bioswale,Fairly Poor,4. Fairly Poor
Blackthorn scrub,Fairly Poor,4. Fairly Poor
Blanket bog,Fairly Poor,4. Fairly Poor
Biodiverse green roof,Fairly Poor,4. Fairly Poor
Calaminarian grasslands,Fairly Poor,4. Fairly Poor
Cemeteries and churchyards,Fairly Poor,4. Fairly Poor
Coastal lagoons,Fairly Poor,4. Fairly Poor
Coastal sand dunes,Fairly Poor,4. Fairly Poor
Coastal vegetated shingle,Fairly Poor,4. Fairly Poor
Depressions on Peat substrates (H7150),Fairly Poor,4. Fairly Poor
,,
Features of littoral rock,Fairly Poor,4. Fairly Poor
"Features of littoral rock - on peat, clay or chalk",Fairly Poor,4. Fairly Poor
Features of littoral sediment,Fairly Poor,4. Fairly Poor
Fens (upland and lowland),Fairly Poor,4. Fairly Poor
Floodplain Wetland Mosaic (CFGM),Fairly Poor,4. Fairly Poor
Gorse scrub,Fairly Poor,4. Fairly Poor
Hawthorn scrub,Fairly Poor,4. Fairly Poor
Hazel scrub,Fairly Poor,4. Fairly Poor
High alkalinity lakes,Fairly Poor,4. Fairly Poor
High energy littoral rock,Fairly Poor,4. Fairly Poor
"High energy littoral rock - on peat, clay or chalk",Fairly Poor,4. Fairly Poor
Inland rock outcrop and scree habitats,Fairly Poor,4. Fairly Poor
Intensive green roof,Fairly Poor,4. Fairly Poor
Limestone pavement,Fairly Poor,4. Fairly Poor
Littoral biogenic reefs - Mussels,Fairly Poor,4. Fairly Poor
Littoral biogenic reefs - Sabellaria,Fairly Poor,4. Fairly Poor
Littoral coarse sediment,Fairly Poor,4. Fairly Poor
Littoral mixed sediments,Fairly Poor,4. Fairly Poor
Littoral mud,Fairly Poor,4. Fairly Poor
Littoral muddy sand,Fairly Poor,4. Fairly Poor
Littoral sand,Fairly Poor,4. Fairly Poor
Littoral seagrass,Fairly Poor,4. Fairly Poor
"Littoral seagrass on peat, clay or chalk",Fairly Poor,4. Fairly Poor
Low alkalinity lakes,Fairly Poor,4. Fairly Poor
Low energy littoral rock,Fairly Poor,4. Fairly Poor
"Low energy littoral rock - on peat, clay or chalk",Fairly Poor,4. Fairly Poor
Lowland beech and yew woodland,Fairly Poor,4. Fairly Poor
Lowland calcareous grassland,Fairly Poor,4. Fairly Poor
Lowland dry acid grassland,Fairly Poor,4. Fairly Poor
Lowland Heathland,Fairly Poor,4. Fairly Poor
Lowland meadows,Fairly Poor,4. Fairly Poor
Lowland mixed deciduous woodland,Fairly Poor,4. Fairly Poor
Lowland raised bog,Fairly Poor,4. Fairly Poor
Maritime cliff and slopes,Fairly Poor,4. Fairly Poor
Marl Lakes,Fairly Poor,4. Fairly Poor
Mixed scrub,Fairly Poor,4. Fairly Poor
Moderate alkalinity lakes,Fairly Poor,4. Fairly Poor
Moderate energy littoral rock,Fairly Poor,4. Fairly Poor
"Moderate energy littoral rock - on peat, clay or chalk",Fairly Poor,4. Fairly Poor
Modified grassland,Fairly Poor,4. Fairly Poor
Mountain heaths and willow scrub,Fairly Poor,4. Fairly Poor
Native pine woodlands,Fairly Poor,4. Fairly Poor
Open Mosaic Habitats on Previously Developed Land,Fairly Poor,4. Fairly Poor
Ornamental lake or pond,Fairly Poor,4. Fairly Poor
Other coniferous woodland,Fairly Poor,4. Fairly Poor
Other inland rock and scree,Fairly Poor,4. Fairly Poor
Other lowland acid grassland,Fairly Poor,4. Fairly Poor
Other neutral grassland,Fairly Poor,4. Fairly Poor
Other Scot's Pine woodland,Fairly Poor,4. Fairly Poor
Other woodland; broadleaved,Fairly Poor,4. Fairly Poor
Other woodland; mixed,Fairly Poor,4. Fairly Poor
Peat Lakes,Fairly Poor,4. Fairly Poor
Ponds (Non- Priority Habitat),Fairly Poor,4. Fairly Poor
Ponds (Priority Habitat),Fairly Poor,4. Fairly Poor
Purple moor grass and rush pastures,Fairly Poor,4. Fairly Poor
Rain garden,Fairly Poor,4. Fairly Poor
Reedbeds,Fairly Poor,4. Fairly Poor
Reservoirs,Fairly Poor,4. Fairly Poor
Ruderal/Ephemeral,Fairly Poor,4. Fairly Poor
Saltmarshes and saline reedbeds,Fairly Poor,4. Fairly Poor
Sea buckthorn scrub (Annex 1),Fairly Poor,4. Fairly Poor
,,
Sustainable urban drainage feature,Fairly Poor,4. Fairly Poor
Tall herb communities (H6430),Fairly Poor,4. Fairly Poor
"Temporary lakes, ponds and pools",Fairly Poor,4. Fairly Poor
Traditional orchards,Fairly Poor,4. Fairly Poor
Transition mires and quaking bogs (H7140),Fairly Poor,4. Fairly Poor
Upland acid grassland,Fairly Poor,4. Fairly Poor
Upland birchwoods,Fairly Poor,4. Fairly Poor
Upland calcareous grassland,Fairly Poor,4. Fairly Poor
Upland hay meadows,Fairly Poor,4. Fairly Poor
Upland Heathland,Fairly Poor,4. Fairly Poor
Upland mixed ashwoods,Fairly Poor,4. Fairly Poor
Upland oakwood,Fairly Poor,4. Fairly Poor
Urban Tree,Fairly Poor,4. Fairly Poor
Vacant/derelict land/ bareground,Fairly Poor,4. Fairly Poor
Wet woodland,Fairly Poor,4. Fairly Poor
Oceanic Valley Mire[1] (D2.1),Fairly Poor,4. Fairly Poor
Wood-pasture and parkland,Fairly Poor,4. Fairly Poor
Allotments,Good,1. Good
Aquifer fed naturally fluctuating water bodies,Good,1. Good
Artificial features of hard structures,Good,1. Good
Artificial hard structures,Good,1. Good
Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI),Good,1. Good
Artificial littoral biogenic reefs,Good,1. Good
Artificial littoral coarse sediment,Good,1. Good
Artificial littoral mixed sediments,Good,1. Good
Artificial littoral mud,Good,1. Good
Artificial littoral muddy sand,Good,1. Good
Artificial littoral sand,Good,1. Good
Artificial littoral seagrass,Good,1. Good
Artificial saltmarshes and saline reedbeds,Good,1. Good
Bioswale,Good,1. Good
Blackthorn scrub,Good,1. Good
Blanket bog,Good,1. Good
Biodiverse green roof,Good,1. Good
Calaminarian grasslands,Good,1. Good
Cemeteries and churchyards,Good,1. Good
Coastal lagoons,Good,1. Good
Coastal sand dunes,Good,1. Good
Coastal vegetated shingle,Good,1. Good
Depressions on Peat substrates (H7150),Good,1. Good
,,
Features of littoral rock,Good,1. Good
"Features of littoral rock - on peat, clay or chalk",Good,1. Good
Features of littoral sediment,Good,1. Good
Fens (upland and lowland),Good,1. Good
Floodplain Wetland Mosaic (CFGM),Good,1. Good
Gorse scrub,Good,1. Good
Hawthorn scrub,Good,1. Good
Hazel scrub,Good,1. Good
High alkalinity lakes,Good,1. Good
High energy littoral rock,Good,1. Good
"High energy littoral rock - on peat, clay or chalk",Good,1. Good
Inland rock outcrop and scree habitats,Good,1. Good
Intensive green roof,Good,1. Good
Limestone pavement,Good,1. Good
Littoral biogenic reefs - Mussels,Good,1. Good
Littoral biogenic reefs - Sabellaria,Good,1. Good
Littoral coarse sediment,Good,1. Good
Littoral mixed sediments,Good,1. Good
Littoral mud,Good,1. Good
Littoral muddy sand,Good,1. Good
Littoral sand,Good,1. Good
Littoral seagrass,Good,1. Good
"Littoral seagrass on peat, clay or chalk",Good,1. Good
Low alkalinity lakes,Good,1. Good
Low energy littoral rock,Good,1. Good
"Low energy littoral rock - on peat, clay or chalk",Good,1. Good
Lowland beech and yew woodland,Good,1. Good
Lowland calcareous grassland,Good,1. Good
Lowland dry acid grassland,Good,1. Good
Lowland Heathland,Good,1. Good
Lowland meadows,Good,1. Good
Lowland mixed deciduous woodland,Good,1. Good
Lowland raised bog,Good,1. Good
Maritime cliff and slopes,Good,1. Good
Marl Lakes,Good,1. Good
Mixed scrub,Good,1. Good
Moderate alkalinity lakes,Good,1. Good
Moderate energy littoral rock,Good,1. Good
"Moderate energy littoral rock - on peat, clay or chalk",Good,1. Good
Modified grassland,Good,1. Good
Mountain heaths and willow scrub,Good,1. Good
Native pine woodlands,Good,1. Good
Open Mosaic Habitats on Previously Developed Land,Good,1. Good
Ornamental lake or pond,Good,1. Good
Other coniferous woodland,Good,1. Good
Other inland rock and scree,Good,1. Good
Other lowland acid grassland,Good,1. Good
Other neutral grassland,Good,1. Good
Other Scot's Pine woodland,Good,1. Good
Other woodland; broadleaved,Good,1. Good
Other woodland; mixed,Good,1. Good
Peat Lakes,Good,1. Good
Ponds (Non- Priority Habitat),Good,1. Good
Ponds (Priority Habitat),Good,1. Good
Purple moor grass and rush pastures,Good,1. Good
Rain garden,Good,1. Good
Reedbeds,Good,1. Good
Reservoirs,Good,1. Good
Ruderal/Ephemeral,Good,1. Good
Saltmarshes and saline reedbeds,Good,1. Good
Sea buckthorn scrub (Annex 1),Good,1. Good
,,
Sustainable urban drainage feature,Good,1. Good
Tall herb communities (H6430),Good,1. Good
"Temporary lakes, ponds and pools",Good,1. Good
Traditional orchards,Good,1. Good
Transition mires and quaking bogs (H7140),Good,1. Good
Upland acid grassland,Good,1. Good
Upland birchwoods,Good,1. Good
Upland calcareous grassland,Good,1. Good
Upland hay meadows,Good,1. Good
Upland Heathland,Good,1. Good
Upland mixed ashwoods,Good,1. Good
Upland oakwood,Good,1. Good
Urban Tree,Good,1. Good
Vacant/derelict land/ bareground,Good,1. Good
Wet woodland,Good,1. Good
Oceanic Valley Mire[1] (D2.1),Good,1. Good
Wood-pasture and parkland,Good,1. Good
Allotments,Moderate,3. Moderate
Aquifer fed naturally fluctuating water bodies,Moderate,3. Moderate
Artificial features of hard structures,Moderate,3. Moderate
Artificial hard structures,Moderate,3. Moderate
Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI),Moderate,3. Moderate
Artificial littoral biogenic reefs,Moderate,3. Moderate
Artificial littoral coarse sediment,Moderate,3. Moderate
Artificial littoral mixed sediments,Moderate,3. Moderate
Artificial littoral mud,Moderate,3. Moderate
Artificial littoral muddy sand,Moderate,3. Moderate
Artificial littoral sand,Moderate,3. Moderate
Artificial littoral seagrass,Moderate,3. Moderate
Artificial saltmarshes and saline reedbeds,Moderate,3. Moderate
Bioswale,Moderate,3. Moderate
Blackthorn scrub,Moderate,3. Moderate
Blanket bog,Moderate,3. Moderate
Biodiverse green roof,Moderate,3. Moderate
Calaminarian grasslands,Moderate,3. Moderate
Cemeteries and churchyards,Moderate,3. Moderate
Coastal lagoons,Moderate,3. Moderate
Coastal sand dunes,Moderate,3. Moderate
Coastal vegetated shingle,Moderate,3. Moderate
Depressions on Peat substrates (H7150),Moderate,3. Moderate
,,
Features of littoral rock,Moderate,3. Moderate
"Features of littoral rock - on peat, clay or chalk",Moderate,3. Moderate
Features of littoral sediment,Moderate,3. Moderate
Fens (upland and lowland),Moderate,3. Moderate
Floodplain Wetland Mosaic (CFGM),Moderate,3. Moderate
Gorse scrub,Moderate,3. Moderate
Hawthorn scrub,Moderate,3. Moderate
Hazel scrub,Moderate,3. Moderate
High alkalinity lakes,Moderate,3. Moderate
High energy littoral rock,Moderate,3. Moderate
"High energy littoral rock - on peat, clay or chalk",Moderate,3. Moderate
Inland rock outcrop and scree habitats,Moderate,3. Moderate
Intensive green roof,Moderate,3. Moderate
Limestone pavement,Moderate,3. Moderate
Littoral biogenic reefs - Mussels,Moderate,3. Moderate
Littoral biogenic reefs - Sabellaria,Moderate,3. Moderate
Littoral coarse sediment,Moderate,3. Moderate
Littoral mixed sediments,Moderate,3. Moderate
Littoral mud,Moderate,3. Moderate
Littoral muddy sand,Moderate,3. Moderate
Littoral sand,Moderate,3. Moderate
Littoral seagrass,Moderate,3. Moderate
"Littoral seagrass on peat, clay or chalk",Moderate,3. Moderate
Low alkalinity lakes,Moderate,3. Moderate
Low energy littoral rock,Moderate,3. Moderate
"Low energy littoral rock - on peat, clay or chalk",Moderate,3. Moderate
Lowland beech and yew woodland,Moderate,3. Moderate
Lowland calcareous grassland,Moderate,3. Moderate
Lowland dry acid grassland,Moderate,3. Moderate
Lowland Heathland,Moderate,3. Moderate
Lowland meadows,Moderate,3. Moderate
Lowland mixed deciduous woodland,Moderate,3. Moderate
Lowland raised bog,Moderate,3. Moderate
Maritime cliff and slopes,Moderate,3. Moderate
Marl Lakes,Moderate,3. Moderate
Mixed scrub,Moderate,3. Moderate
Moderate alkalinity lakes,Moderate,3. Moderate
Moderate energy littoral rock,Moderate,3. Moderate
"Moderate energy littoral rock - on peat, clay or chalk",Moderate,3. Moderate
Modified grassland,Moderate,3. Moderate
Mountain heaths and willow scrub,Moderate,3. Moderate
Native pine woodlands,Moderate,3. Moderate
Open Mosaic Habitats on Previously Developed Land,Moderate,3. Moderate
Ornamental lake or pond,Moderate,3. Moderate
Other coniferous woodland,Moderate,3. Moderate
Other inland rock and scree,Moderate,3. Moderate
Other lowland acid grassland,Moderate,3. Moderate
Other neutral grassland,Moderate,3. Moderate
Other Scot's Pine woodland,Moderate,3. Moderate
Other woodland; broadleaved,Moderate,3. Moderate
Other woodland; mixed,Moderate,3. Moderate
Peat Lakes,Moderate,3. Moderate
Ponds (Non- Priority Habitat),Moderate,3. Moderate
Ponds (Priority Habitat),Moderate,3. Moderate
Purple moor grass and rush pastures,Moderate,3. Moderate
Rain garden,Moderate,3. Moderate
Reedbeds,Moderate,3. Moderate
Reservoirs,Moderate,3. Moderate
Ruderal/Ephemeral,Moderate,3. Moderate
Saltmarshes and saline reedbeds,Moderate,3. Moderate
Sea buckthorn scrub (Annex 1),Moderate,3. Moderate
,,
Sustainable urban drainage feature,Moderate,3. Moderate
Tall herb communities (H6430),Moderate,3. Moderate
"Temporary lakes, ponds and pools",Moderate,3. Moderate
Traditional orchards,Moderate,3. Moderate
Transition mires and quaking bogs (H7140),Moderate,3. Moderate
Upland acid grassland,Moderate,3. Moderate
Upland birchwoods,Moderate,3. Moderate
Upland calcareous grassland,Moderate,3. Moderate
Upland hay meadows,Moderate,3. Moderate
Upland Heathland,Moderate,3. Moderate
Upland mixed ashwoods,Moderate,3. Moderate
Upland oakwood,Moderate,3. Moderate
Urban Tree,Moderate,3. Moderate
Vacant/derelict land/ bareground,Moderate,3. Moderate
Wet woodland,Moderate,3. Moderate
Oceanic Valley Mire[1] (D2.1),Moderate,3. Moderate
Wood-pasture and parkland,Moderate,3. Moderate
"Artificial unvegetated, unsealed surface",N/A - Other,6. N/A - Other
Built linear features,N/A - Other,6. N/A - Other
Developed land; sealed surface,N/A - Other,6. N/A - Other
Un-vegetated garden,N/A - Other,6. N/A - Other
Arable field margins cultivated annually,Condition Assessment N/A,7. Condition Assessment N/A
Arable field margins game bird mix,Condition Assessment N/A,7. Condition Assessment N/A
Arable field margins pollen & nectar,Condition Assessment N/A,7. Condition Assessment N/A
Arable field margins tussocky,Condition Assessment N/A,7. Condition Assessment N/A
Cereal crops,Condition Assessment N/A,7. Condition Assessment N/A
Cereal crops other,Condition Assessment N/A,7. Condition Assessment N/A
Cereal crops winter stubble,Condition Assessment N/A,7. Condition Assessment N/A
Horticulture,Condition Assessment N/A,7. Condition Assessment N/A
Intensive orchards,Condition Assessment N/A,7. Condition Assessment N/A
Non-cereal crops,Condition Assessment N/A,7. Condition Assessment N/A
Temporary grass and clover leys,Condition Assessment N/A,7. Condition Assessment N/A
Allotments,Poor,5. Poor
Aquifer fed naturally fluctuating water bodies,Poor,5. Poor
Artificial features of hard structures,Poor,5. Poor
Artificial hard structures,Poor,5. Poor
Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI),Poor,5. Poor
Artificial littoral biogenic reefs,Poor,5. Poor
Artificial littoral coarse sediment,Poor,5. Poor
Artificial littoral mixed sediments,Poor,5. Poor
Artificial littoral mud,Poor,5. Poor
Artificial littoral muddy sand,Poor,5. Poor
Artificial littoral sand,Poor,5. Poor
Artificial littoral seagrass,Poor,5. Poor
Artificial saltmarshes and saline reedbeds,Poor,5. Poor
Bioswale,Poor,5. Poor
Blackthorn scrub,Poor,5. Poor
Blanket bog,Poor,5. Poor
Bracken,Condition Assessment N/A,Condition Assessment N/A
Bramble scrub,Condition Assessment N/A,Condition Assessment N/A
Biodiverse green roof,Poor,5. Poor
Calaminarian grasslands,Poor,5. Poor
Cemeteries and churchyards,Poor,5. Poor
Coastal lagoons,Poor,5. Poor
Coastal sand dunes,Poor,5. Poor
Coastal vegetated shingle,Poor,5. Poor
Depressions on Peat substrates (H7150),Poor,5. Poor
Other green roof,Condition Assessment N/A,Condition Assessment N/A
Features of littoral rock,Poor,5. Poor
"Features of littoral rock - on peat, clay or chalk",Poor,5. Poor
Features of littoral sediment,Poor,5. Poor
Felled,Good,1. Good
Fens (upland and lowland),Poor,5. Poor
Floodplain Wetland Mosaic (CFGM),Poor,5. Poor
Gorse scrub,Poor,5. Poor
Ground level planters,Condition Assessment N/A,Condition Assessment N/A
Hawthorn scrub,Poor,5. Poor
Hazel scrub,Poor,5. Poor
High alkalinity lakes,Poor,5. Poor
High energy littoral rock,Poor,5. Poor
"High energy littoral rock - on peat, clay or chalk",Poor,5. Poor
Inland rock outcrop and scree habitats,Poor,5. Poor
Intensive green roof,Poor,5. Poor
Introduced shrub,Condition Assessment N/A,Condition Assessment N/A
Limestone pavement,Poor,5. Poor
Littoral biogenic reefs - Mussels,Poor,5. Poor
Littoral biogenic reefs - Sabellaria,Poor,5. Poor
Littoral coarse sediment,Poor,5. Poor
Littoral mixed sediments,Poor,5. Poor
Littoral mud,Poor,5. Poor
Littoral muddy sand,Poor,5. Poor
Littoral sand,Poor,5. Poor
Littoral seagrass,Poor,5. Poor
"Littoral seagrass on peat, clay or chalk",Poor,5. Poor
Low alkalinity lakes,Poor,5. Poor
Low energy littoral rock,Poor,5. Poor
"Low energy littoral rock - on peat, clay or chalk",Poor,5. Poor
Lowland beech and yew woodland,Poor,5. Poor
Lowland calcareous grassland,Poor,5. Poor
Lowland dry acid grassland,Poor,5. Poor
Lowland Heathland,Poor,5. Poor
Lowland meadows,Poor,5. Poor
Lowland mixed deciduous woodland,Poor,5. Poor
Lowland raised bog,Poor,5. Poor
Maritime cliff and slopes,Poor,5. Poor
Marl Lakes,Poor,5. Poor
Mixed scrub,Poor,5. Poor
Moderate alkalinity lakes,Poor,5. Poor
Moderate energy littoral rock,Poor,5. Poor
"Moderate energy littoral rock - on peat, clay or chalk",Poor,5. Poor
Modified grassland,Poor,5. Poor
Mountain heaths and willow scrub,Poor,5. Poor
Native pine woodlands,Poor,5. Poor
Open Mosaic Habitats on Previously Developed Land,Poor,5. Poor
Ornamental lake or pond,Poor,5. Poor
Other coniferous woodland,Poor,5. Poor
Other inland rock and scree,Poor,5. Poor
Other lowland acid grassland,Poor,5. Poor
Other neutral grassland,Poor,5. Poor
Other Scot's Pine woodland,Poor,5. Poor
Other woodland; broadleaved,Poor,5. Poor
Other woodland; mixed,Poor,5. Poor
Peat Lakes,Poor,5. Poor
Ponds (Non- Priority Habitat),Poor,5. Poor
Ponds (Priority Habitat),Poor,5. Poor
Purple moor grass and rush pastures,Poor,5. Poor
Rain garden,Poor,5. Poor
Reedbeds,Poor,5. Poor
Reservoirs,Poor,5. Poor
Rhododendron scrub,Condition Assessment N/A,Condition Assessment N/A
Ruderal/Ephemeral,Poor,5. Poor
Saltmarshes and saline reedbeds,Poor,5. Poor
Actively worked sand pit quarry or open cast mine,Condition Assessment N/A,Condition Assessment N/A
Sea buckthorn scrub (Annex 1),Poor,5. Poor
,,
Sustainable urban drainage feature,Poor,5. Poor
Tall herb communities (H6430),Poor,5. Poor
"Temporary lakes, ponds and pools",Poor,5. Poor
Traditional orchards,Poor,5. Poor
Transition mires and quaking bogs (H7140),Poor,5. Poor
Upland acid grassland,Poor,5. Poor
Upland birchwoods,Poor,5. Poor
Upland calcareous grassland,Poor,5. Poor
Upland hay meadows,Poor,5. Poor
Upland Heathland,Poor,5. Poor
Upland mixed ashwoods,Poor,5. Poor
Upland oakwood,Poor,5. Poor
Urban Tree,Poor,5. Poor
Vacant/derelict land/ bareground,Poor,5. Poor
Vegetated garden,Condition Assessment N/A,Condition Assessment N/A
Wet woodland,Poor,5. Poor
Oceanic Valley Mire[1] (D2.1),Poor,5. Poor
Wood-pasture and parkland,Poor,5. Poor
River,Condition Assessment N/A,Condition Assessment N/A
